ANO;EXPORTAÇÃO;IMPORTAÇÃO;CORRENTE COMEX;PIB
2022;334.14;272.61;606.75;1,920.10
2021;280.81;219.41;500.22;1,649.62
2020;209.18;158.79;367.97;1,476.11
2019;221.13;185.93;407.05;1,873.29
2018;231.89;185.32;417.21;1,916.93
2017;214.99;158.95;373.94;2,063.51
2016;179.53;139.32;318.85;1,795.69
2015;186.78;173.1;359.89;1,802.21
2014;220.92;230.82;451.75;2,456.04
2013;232.54;241.5;474.05;2,472.82
2012;239.95;225.17;465.12;2,465.23
2011;253.67;227.97;481.64;2,616.16
2010;200.43;183.34;383.77;2,208.84
2009;151.79;129.4;281.19;1,667.00
2008;195.76;174.71;370.47;1,695.86
2007;159.82;122.04;281.86;1,397.11
2006;137.58;92.53;230.11;1,107.63
2005;118.6;74.69;193.29;891.63
2004;95.12;63.81;158.94;669.29
2003;72.78;49.31;122.08;558.23
2002;60.15;48.27;108.42;509.8
2001;58.03;56.57;114.6;559.98
2000;54.99;56.98;111.97;655.45
1999;47.95;50.26;98.21;599.64
1998;51.08;58.67;109.75;863.71
